country,year,age_group,pop_male,pop_female,pop_total
Afghanistan,2020,18-24,2881.524,2771.277,5652.798
Afghanistan,2020,25-34,2779.255,2721.038,5500.292
Afghanistan,2020,35-44,1715.141,1691.121,3406.267
Afghanistan,2020,45-54,1091.759,1139.97,2231.729
Afghanistan,2020,55-64,585.888,696.408,1282.294
Afghanistan,2020,65-74,288.701,376.847,665.548
Afghanistan,2020,75-84,97.301,134.518,231.818
Afghanistan,2020,85+,10.927,17.934,28.856
Afghanistan,2021,18-24,2953.647,2841.045,5794.693
Afghanistan,2021,25-34,2894.732,2842.313,5737.047
Afghanistan,2021,35-44,1764.561,1743.619,3508.18
Afghanistan,2021,45-54,1131.796,1174.844,2306.641
Afghanistan,2021,55-64,604.746,717.766,1322.513
Afghanistan,2021,65-74,292.183,383.903,676.083
Afghanistan,2021,75-84,98.038,138.41,236.448
Afghanistan,2021,85+,10.67,17.832,28.498
Afghanistan,2022,18-24,2994.051,2877.191,5871.243
Afghanistan,2022,25-34,2987.464,2937.287,5924.752
Afghanistan,2022,35-44,1804.22,1785.299,3589.52
Afghanistan,2022,45-54,1163.072,1199.797,2362.873
Afghanistan,2022,55-64,622.338,734.593,1356.929
Afghanistan,2022,65-74,296.024,389.265,685.289
Afghanistan,2022,75-84,99.108,142.353,241.462
Afghanistan,2022,85+,10.827,18.117,28.942
Afghanistan,2023,18-24,3051.771,2925.725,5977.494
Afghanistan,2023,25-34,3105.705,3049.916,6155.619
Afghanistan,2023,35-44,1864.034,1844.213,3708.248
Afghanistan,2023,45-54,1204.231,1233.761,2437.993
Afghanistan,2023,55-64,648.481,758.673,1407.156
Afghanistan,2023,65-74,305.127,399.707,704.834
Afghanistan,2023,75-84,101.656,148.535,250.191
Afghanistan,2023,85+,11.459,19.127,30.58
Afghanistan,2024,18-24,3123.322,2988.532,6111.856
Afghanistan,2024,25-34,3246.776,3182.954,6429.731
Afghanistan,2024,35-44,1943.374,1922.513,3865.891
