country,year,urban_pct
Afghanistan,2020,25.2622103446137
Afghanistan,2021,25.3478620272481
Afghanistan,2022,25.3939250580909
Afghanistan,2023,25.4730529631167
Afghanistan,2024,25.7007352636188
Afghanistan,2025,25.7007352636188
Afghanistan,2026,25.7007352636188
Algeria,2020,73.0541126293395
Algeria,2021,73.6199218261573
Algeria,2022,74.1795862354514
Algeria,2023,74.732808364138
Algeria,2024,75.2792907190618
Algeria,2025,75.2792907190618
Algeria,2026,75.2792907190618
Angola,2020,67.4568270208187
Angola,2021,68.2524163556969
Angola,2022,69.0506188977513
Angola,2023,69.8515032220457
Angola,2024,70.6551379036435
Angola,2025,70.6551379036435
Angola,2026,70.6551379036435
Argentina,2020,91.9439026594897
Argentina,2021,92.0292776175651
Argentina,2022,92.112838186126
Argentina,2023,92.1945132257907
Argentina,2024,92.2742315972952
Argentina,2025,92.2742315972952
Argentina,2026,92.2742315972952
Armenia,2020,65.174217253699
Armenia,2021,65.3572875314441
Armenia,2022,65.5624462874485
Armenia,2023,65.6956882008852
Armenia,2024,65.8113671449901
Armenia,2025,65.8113671449901
Armenia,2026,65.8113671449901
Australia,2020,87.2713470458985
Australia,2021,87.2353407632761
Australia,2022,87.3343268253813
Australia,2023,87.4866955653765
Australia,2024,87.6021469990446
Australia,2025,87.6021469990446
Australia,2026,87.6021469990446
Austria,2020,68.5410177924001
Austria,2021,68.773601700253
Austria,2022,68.998085127906
Austria,2023,69.2265358276021
Austria,2024,69.4658181096788
Austria,2025,69.4658181096788
Austria,2026,69.4658181096788
Azerbaijan,2020,58.2934691761937
Azerbaijan,2021,58.3659969744818
Azerbaijan,2022,58.4382815854684
Azerbaijan,2023,58.5075350483702
Azerbaijan,2024,58.573795837717
Azerbaijan,2025,58.573795837717
Azerbaijan,2026,58.573795837717
Bangladesh,2020,31.1168927321524
Bangladesh,2021,31.3992156886061
Bangladesh,2022,31.673734726234
Bangladesh,2023,32.1578465036834
Bangladesh,2024,32.6783196323307
Bangladesh,2025,32.6783196323307
Bangladesh,2026,32.6783196323307
Belarus,2020,77.7890385790408
Belarus,2021,78.131086803694
Belarus,2022,78.4732787892908
Belarus,2023,78.8146420666327
Belarus,2024,79.1551015210848
Belarus,2025,79.1551015210848
Belarus,2026,79.1551015210848
Belgium,2020,87.2964994991269
Belgium,2021,87.4305564090635
Belgium,2022,87.489200269855
Belgium,2023,87.551492636772
